sample_name	library_ID	title	HOST	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	mouseID	age (days)	genotype	Cage	Breeder	collection_date	event_description
CALTEC-001-11	CALTEC-001-11	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268381	B2_C1_ASO	21	ASO	1	2	3/7/24	"weaning day, collection"
CALTEC-001-12	CALTEC-001-12	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268382	B2_C2_WT	21	WT	2	2	3/7/24	"weaning day, collection"
CALTEC-001-13	CALTEC-001-13	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268383	B2_C2_ASO	21	ASO	2	2	3/7/24	"weaning day, collection"
CALTEC-001-14	CALTEC-001-14	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268384	B3_C4_ASO	21	ASO	4	3	3/7/24	"weaning day, collection"
CALTEC-001-15	CALTEC-001-15	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268385	B3_C3_ASO	21	ASO	3	3	3/7/24	"weaning day, collection"
CALTEC-001-16	CALTEC-001-16	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268386	B4_C3_ASO	21	ASO	3	4	3/7/24	"weaning day, collection"
CALTEC-001-17	CALTEC-001-17	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268387	B4_C4_ASO	21	ASO	4	4	3/7/24	"weaning day, collection"
CALTEC-001-18	CALTEC-001-18	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268388	B4_C4_WT	21	WT	4	4	3/7/24	"weaning day, collection"
CALTEC-001-19	CALTEC-001-19	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268389	B1_C1_ASO	28	ASO	1	1	3/14/24	"genotyped, separation, collection"
CALTEC-001-20	CALTEC-001-20	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268390	B1_C1_WT	28	WT	1	1	3/14/24	"genotyped, separation, collection"
CALTEC-001-21	CALTEC-001-21	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268391	B1_C2_WT	28	WT	2	1	3/14/24	"genotyped, separation, collection"
CALTEC-001-22	CALTEC-001-22	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268392	B1_C2_ASO	28	ASO	2	1	3/14/24	"genotyped, separation, collection"
CALTEC-001-23	CALTEC-001-23	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268393	B1_C1_WT	28	WT	1	1	3/14/24	"genotyped, separation, collection"
CALTEC-001-24	CALTEC-001-24	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268394	B2_C1_WT	28	WT	1	2	3/14/24	"genotyped, separation, collection"
CALTEC-001-25	CALTEC-001-25	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268395	B2_C1_ASO	28	ASO	1	2	3/14/24	"genotyped, separation, collection"
CALTEC-001-26	CALTEC-001-26	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268396	B2_C2_WT	28	WT	2	2	3/14/24	"genotyped, separation, collection"
CALTEC-001-27	CALTEC-001-27	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268397	B2_C2_ASO	28	ASO	2	2	3/14/24	"genotyped, separation, collection"
CALTEC-001-28	CALTEC-001-28	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268398	B3_C4_ASO	28	ASO	4	3	3/14/24	"genotyped, separation, collection"
CALTEC-001-29	CALTEC-001-29	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268399	B3_C3_ASO	28	ASO	3	3	3/14/24	"genotyped, separation, collection"
CALTEC-001-30	CALTEC-001-30	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268400	B4_C3_ASO	28	ASO	3	4	3/14/24	"genotyped, separation, collection"
CALTEC-001-31	CALTEC-001-31	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268401	B4_C4_ASO	28	ASO	4	4	3/14/24	"genotyped, separation, collection"
CALTEC-001-32	CALTEC-001-32	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268402	B4_C4_WT	28	WT	4	4	3/14/24	"genotyped, separation, collection"
CALTEC-001-33	CALTEC-001-33	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268403	B1_C1_ASO	35	ASO	1	1	3/21/24	collection
CALTEC-001-34	CALTEC-001-34	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268404	B1_C1_WT	35	WT	1	1	3/21/24	collection
CALTEC-001-35	CALTEC-001-35	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268405	B1_C2_WT	35	WT	2	1	3/21/24	collection
CALTEC-001-36	CALTEC-001-36	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268406	B1_C2_ASO	35	ASO	2	1	3/21/24	collection
CALTEC-001-37	CALTEC-001-37	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268407	B1_C1_WT	35	WT	1	1	3/21/24	collection
CALTEC-001-38	CALTEC-001-38	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268408	B2_C1_WT	35	WT	1	2	3/21/24	collection
CALTEC-001-39	CALTEC-001-39	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268409	B2_C1_ASO	35	ASO	1	2	3/21/24	collection
CALTEC-001-40	CALTEC-001-40	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268410	B2_C2_WT	35	WT	2	2	3/21/24	collection
CALTEC-001-41	CALTEC-001-41	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268411	B2_C2_ASO	35	ASO	2	2	3/21/24	collection
CALTEC-001-42	CALTEC-001-42	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268412	B3_C4_ASO	35	ASO	4	3	3/21/24	collection
CALTEC-001-43	CALTEC-001-43	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268413	B3_C3_ASO	35	ASO	3	3	3/21/24	collection
CALTEC-001-44	CALTEC-001-44	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268414	B4_C3_ASO	35	ASO	3	4	3/21/24	collection
CALTEC-001-45	CALTEC-001-45	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268415	B4_C4_ASO	35	ASO	4	4	3/21/24	collection
CALTEC-001-46	CALTEC-001-46	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268416	B4_C4_WT	35	WT	4	4	3/21/24	collection
CALTEC-001-47	CALTEC-001-47	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268417	B1_C1_ASO	41	ASO	1	1	3/27/24	collection
CALTEC-001-48	CALTEC-001-48	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268418	B1_C1_WT	41	WT	1	1	3/27/24	collection
CALTEC-001-49	CALTEC-001-49	Fecal metagenome of lab mouse	Mus Musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268419	B1_C2_WT	41	WT	2	1	3/27/24	collection
